Date,Country,Country_Geopolitical_Shock_Exposure,Country_Geo_Shock_Z,Country_Geo_Risk_Percentile,Country_Geo_Risk_Level
3/22/2019,United States,230.5834107,1.177639159,0.950321095,Extremely high
3/23/2019,United States,145.9050706,0.618073778,0.920842637,Extremely high
3/24/2019,United States,126.1217288,0.487342906,0.909175884,Extremely high
3/25/2019,United States,96.46798941,0.291387175,0.884924962,Extremely high
3/26/2019,United States,166.5482252,0.754486403,0.930293746,Extremely high
3/27/2019,United States,151.8485939,0.657349345,0.923612193,Extremely high
3/28/2019,United States,152.6881347,0.662897139,0.924062246,Extremely high
3/29/2019,United States,145.7966926,0.617357602,0.920790708,Extremely high
3/30/2019,United States,126.1915169,0.487804075,0.909245123,Extremely high
3/31/2019,United States,41.91775633,-0.069087793,0.766474529,High
4/1/2019,United States,126.8603205,0.492223615,0.909712486,Extremely high
4/2/2019,United States,117.5691574,0.430826412,0.903013623,Extremely high
4/3/2019,United States,162.765138,0.729487275,0.928424296,Extremely high
4/4/2019,United States,140.6680935,0.583467158,0.918315418,Extremely high
4/5/2019,United States,138.0005553,0.565839722,0.91693064,Extremely high
4/6/2019,United States,113.5946019,0.404562037,0.90008828,Extremely high
4/7/2019,United States,30.07533631,-0.147344031,0.701251493,High
4/8/2019,United States,187.6932366,0.894215363,0.938585103,Extremely high
4/9/2019,United States,324.7658483,1.800008842,0.967977013,Extremely high
4/10/2019,United States,147.9891337,0.631845535,0.92195046,Extremely high
4/11/2019,United States,201.9738244,0.988583327,0.942774056,Extremely high
4/12/2019,United States,200.8831056,0.981375717,0.942497101,Extremely high
4/13/2019,United States,157.2016849,0.69272326,0.926035554,Extremely high
4/14/2019,United States,100.5538928,0.318387351,0.888542694,Extremely high
4/15/2019,United States,109.8474789,0.379800566,0.897007149,Extremely high
4/16/2019,United States,241.2546097,1.248155817,0.95314258,Extremely high
4/17/2019,United States,131.2338377,0.52112438,0.912412802,Extremely high
4/18/2019,United States,105.8420601,0.353332242,0.893597134,Extremely high
4/19/2019,United States,99.46602729,0.311198596,0.887538731,Extremely high
4/20/2019,United States,89.6263045,0.24617644,0.876789393,Extremely high
4/21/2019,United States,168.5726165,0.767863842,0.931176542,Extremely high
4/22/2019,United States,185.9598603,0.882760989,0.937961953,Extremely high
4/23/2019,United States,303.3583415,1.658545279,0.964982431,Extremely high
4/24/2019,United States,171.1088398,0.784623532,0.932492081,Extremely high
4/25/2019,United States,193.1153319,0.930045267,0.940489173,Extremely high
4/26/2019,United States,251.150612,1.313549876,0.955288986,Extremely high
4/27/2019,United States,104.1256991,0.341990308,0.892073878,Extremely high
4/28/2019,United States,57.5882073,0.034464566,0.820515484,Extremely high
4/29/2019,United States,133.3756448,0.535277718,0.913745651,Extremely high
4/30/2019,United States,95.70722545,0.286359949,0.883661353,Extremely high
5/1/2019,United States,170.8129904,0.782668521,0.932284364,Extremely high
5/2/2019,United States,517.3662278,3.072736966,0.984178913,Extremely high
5/3/2019,United States,194.773175,0.941000508,0.940869987,Extremely high
5/4/2019,United States,143.8450546,0.604460926,0.920011771,Extremely high
5/5/2019,United States,259.0879676,1.366000944,0.956950719,Extremely high
5/6/2019,United States,374.824735,2.130804415,0.973550743,Extremely high
5/7/2019,United States,340.1487548,1.90166107,0.969707985,Extremely high
5/8/2019,United States,157.5350186,0.694925972,0.92631251,Extremely high
5/9/2019,United States,464.0456249,2.720387551,0.980872756,Extremely high
5/10/2019,United States,377.5143563,2.148577779,0.973931557,Extremely high
5/11/2019,United States,156.2228967,0.686255302,0.92565474,Extremely high
5/12/2019,United States,86.56585646,0.225952605,0.872912015,Extremely high
5/13/2019,United States,363.5956184,2.056600966,0.972598709,Extremely high
